passenger_count_id,passenger_count
0,1
1,5
2,1
3,2
4,1
5,1
6,1
7,1
8,1
9,2
10,1
11,1
12,5
13,1
14,2
15,1
16,1
17,1
18,1
19,1
20,1
21,2
22,1
23,1
24,5
25,1
26,5
27,1
28,1
29,2
30,1
31,1
32,3
33,2
34,3
35,2
36,2
37,6
38,1
39,1
40,1
41,2
42,1
43,1
44,1
45,5
46,1
47,1
48,1
49,1
50,2
51,1
52,2
53,5
54,1
55,1
56,1
57,2
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,2
66,1
67,5
68,2
69,5
70,1
71,3
72,1
73,2
74,6
75,1
76,2
77,1
78,1
79,1
80,5
81,1
82,1
83,1
84,2
85,1
86,1
87,1
88,5
89,1
90,1
91,1
92,1
93,2
94,6
95,1
96,1
97,1
98,1
99,6
100,1
101,2
102,1
103,5
104,1
105,2
106,1
107,1
108,1
109,2
110,5
111,1
112,1
113,1
114,1
115,2
116,1
117,1
118,5
119,1
120,2
121,1
122,2
123,3
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,6
132,1
133,5
134,1
135,1
136,1
137,1
138,6
139,2
140,2
141,1
142,1
143,1
144,2
145,1
146,1
147,1
148,6
149,1
150,1
151,1
152,5
153,1
154,1
155,1
156,2
157,1
158,6
159,1
160,5
161,1
162,6
163,1
164,2
165,1
166,1
167,1
168,1
169,6
170,5
171,3
172,3
173,2
174,1
175,2
176,6
177,1
178,1
179,1
180,1
181,2
182,1
183,5
184,1
185,2
186,5
187,4
188,5
189,1
190,1
191,1
192,1
193,3
194,1
195,1
196,1
197,2
198,5
199,1
200,3
201,1
202,1
203,1
204,5
205,1
206,1
207,1
208,1
209,2
210,1
211,1
212,3
213,1
214,1
215,2
216,2
217,1
218,1
219,6
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,2
230,1
231,1
232,2
233,1
234,1
235,2
236,6
237,1
238,1
239,3
240,1
241,1
242,6
243,6
244,1
245,2
246,1
247,1
248,1
249,4
250,2
251,1
252,1
253,1
254,3
255,5
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,3
264,1
265,2
266,1
267,1
268,1
269,2
270,1
271,2
272,1
273,1
274,1
275,1
276,1
277,4
278,1
279,1
280,1
281,6
282,3
283,2
284,3
285,1
286,1
287,3
288,5
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,6
302,5
303,6
304,3
305,1
306,1
307,1
308,1
309,1
310,2
311,2
312,1
313,6
314,1
315,6
316,1
317,1
318,1
319,1
320,3
321,1
322,5
323,1
324,2
325,1
326,1
327,1
328,5
329,1
330,1
331,2
332,6
333,1
334,1
335,1
336,1
337,1
338,1
339,3
340,1
341,1
342,2
343,2
344,2
345,2
346,6
347,6
348,5
349,2
350,1
351,2
352,3
353,1
354,1
