Rate_code_id,RatecodeID,RatecodeType
0,1,Standard rate
1,2,JFK
2,1,Standard rate
3,1,Standard rate
4,1,Standard rate
5,1,Standard rate
6,1,Standard rate
7,1,Standard rate
8,1,Standard rate
9,1,Standard rate
10,1,Standard rate
11,1,Standard rate
12,1,Standard rate
13,1,Standard rate
14,1,Standard rate
15,1,Standard rate
16,1,Standard rate
17,2,JFK
18,1,Standard rate
19,1,Standard rate
20,1,Standard rate
21,1,Standard rate
22,1,Standard rate
23,1,Standard rate
24,1,Standard rate
25,1,Standard rate
26,1,Standard rate
27,1,Standard rate
28,1,Standard rate
29,1,Standard rate
30,1,Standard rate
31,1,Standard rate
32,1,Standard rate
33,1,Standard rate
34,1,Standard rate
35,1,Standard rate
36,1,Standard rate
37,1,Standard rate
38,1,Standard rate
39,1,Standard rate
40,1,Standard rate
41,1,Standard rate
42,1,Standard rate
43,1,Standard rate
44,1,Standard rate
45,1,Standard rate
46,1,Standard rate
47,1,Standard rate
48,1,Standard rate
49,1,Standard rate
50,1,Standard rate
51,1,Standard rate
52,1,Standard rate
53,1,Standard rate
54,1,Standard rate
55,1,Standard rate
56,1,Standard rate
57,1,Standard rate
58,1,Standard rate
59,1,Standard rate
60,1,Standard rate
61,1,Standard rate
62,1,Standard rate
63,1,Standard rate
64,1,Standard rate
65,1,Standard rate
66,1,Standard rate
67,2,JFK
68,1,Standard rate
69,1,Standard rate
70,1,Standard rate
71,1,Standard rate
72,1,Standard rate
73,1,Standard rate
74,1,Standard rate
75,1,Standard rate
76,1,Standard rate
77,1,Standard rate
78,1,Standard rate
79,1,Standard rate
80,1,Standard rate
81,1,Standard rate
82,1,Standard rate
83,1,Standard rate
84,1,Standard rate
85,1,Standard rate
86,1,Standard rate
87,1,Standard rate
88,1,Standard rate
89,1,Standard rate
90,1,Standard rate
91,1,Standard rate
92,1,Standard rate
93,1,Standard rate
94,1,Standard rate
95,1,Standard rate
96,1,Standard rate
97,1,Standard rate
98,1,Standard rate
99,1,Standard rate
100,1,Standard rate
101,1,Standard rate
102,1,Standard rate
103,1,Standard rate
104,1,Standard rate
105,1,Standard rate
106,1,Standard rate
107,1,Standard rate
108,1,Standard rate
109,1,Standard rate
110,1,Standard rate
111,1,Standard rate
112,1,Standard rate
113,1,Standard rate
114,1,Standard rate
115,1,Standard rate
116,1,Standard rate
117,1,Standard rate
118,1,Standard rate
119,1,Standard rate
120,1,Standard rate
121,1,Standard rate
122,1,Standard rate
123,1,Standard rate
124,1,Standard rate
125,1,Standard rate
126,1,Standard rate
127,1,Standard rate
128,1,Standard rate
129,1,Standard rate
130,1,Standard rate
131,1,Standard rate
132,1,Standard rate
133,1,Standard rate
134,1,Standard rate
135,1,Standard rate
136,1,Standard rate
137,1,Standard rate
138,1,Standard rate
139,1,Standard rate
140,1,Standard rate
141,1,Standard rate
142,1,Standard rate
143,1,Standard rate
144,1,Standard rate
145,1,Standard rate
146,1,Standard rate
147,1,Standard rate
148,1,Standard rate
149,1,Standard rate
150,1,Standard rate
151,1,Standard rate
152,1,Standard rate
153,1,Standard rate
154,1,Standard rate
155,1,Standard rate
156,1,Standard rate
157,1,Standard rate
158,1,Standard rate
159,1,Standard rate
160,1,Standard rate
161,1,Standard rate
162,1,Standard rate
163,1,Standard rate
164,1,Standard rate
165,1,Standard rate
166,1,Standard rate
167,1,Standard rate
168,1,Standard rate
169,1,Standard rate
170,1,Standard rate
171,1,Standard rate
172,1,Standard rate
173,1,Standard rate
174,1,Standard rate
175,1,Standard rate
176,1,Standard rate
177,1,Standard rate
178,1,Standard rate
179,1,Standard rate
180,1,Standard rate
181,1,Standard rate
182,1,Standard rate
183,1,Standard rate
184,1,Standard rate
185,2,JFK
186,1,Standard rate
187,1,Standard rate
188,1,Standard rate
189,1,Standard rate
190,1,Standard rate
