trip_distance_id,trip_distance
0,0.58
1,22.0
2,7.11
3,0.74
4,6.35
5,2.15
6,1.35
7,2.19
8,1.3
9,2.34
10,3.28
11,11.4
12,1.84
13,0.61
14,5.07
15,1.28
16,1.17
17,18.17
18,0.73
19,2.02
20,2.75
21,2.11
22,3.68
23,2.36
24,3.67
25,2.55
26,2.44
27,8.96
28,1.57
29,3.67
30,0.91
31,1.59
32,2.02
33,1.15
34,1.22
35,1.59
36,3.11
37,3.82
38,1.38
39,2.13
40,3.84
41,0.56
42,1.23
43,1.49
44,0.91
45,0.78
46,1.38
47,2.06
48,0.84
49,0.81
50,1.43
51,0.61
52,0.92
53,1.61
54,0.89
55,0.92
56,0.82
57,1.36
58,5.06
59,2.37
60,2.13
61,5.02
62,2.48
63,0.62
64,2.36
65,2.69
66,2.11
67,17.63
68,1.83
69,1.31
70,1.37
71,0.7
72,1.6
73,0.85
74,0.65
75,1.75
76,0.44
77,0.84
78,1.7
79,0.48
80,7.62
81,2.52
82,0.69
83,1.13
84,0.75
85,0.44
86,1.83
87,1.61
88,3.33
89,5.66
90,1.47
91,1.62
92,1.96
93,5.41
94,4.59
95,1.81
96,2.22
97,3.53
98,2.54
99,2.12
100,1.95
101,2.97
102,2.01
103,1.39
104,1.09
105,0.93
106,2.6
107,2.24
108,9.87
109,2.18
110,1.78
111,1.31
112,1.3
113,2.65
114,1.57
115,0.75
116,4.08
117,1.49
118,0.91
119,2.11
120,2.92
121,1.38
122,1.88
123,1.94
124,2.27
125,0.28
126,1.21
127,0.69
128,1.59
129,1.26
130,2.91
131,0.86
132,1.74
133,1.65
134,3.1
135,0.01
136,1.89
137,3.08
138,1.84
139,1.43
140,0.76
141,8.0
142,2.48
143,2.14
144,3.05
145,6.0
146,2.41
147,2.09
148,1.13
149,1.42
150,0.52
151,2.06
152,0.76
153,0.62
154,0.89
155,3.03
156,4.17
157,3.31
158,5.98
159,3.2
160,1.1
161,4.1
162,1.69
163,1.66
164,2.25
165,3.37
166,4.2
167,0.98
168,0.75
169,7.67
170,6.5
171,0.71
172,1.67
173,1.03
174,0.85
175,2.65
176,2.59
177,2.26
178,0.56
179,4.99
180,1.3
181,2.73
182,5.15
183,14.25
184,0.62
185,15.57
186,5.4
187,1.07
188,2.39
189,1.13
190,2.05
191,1.58
192,1.74
193,2.1
194,10.13
195,0.86
196,2.01
197,2.47
198,2.0
199,1.92
200,9.08
201,2.09
202,1.21
203,2.46
204,1.02
205,1.48
206,0.8
207,0.82
208,0.61
209,4.03
210,1.37
211,0.96
212,3.67
213,7.9
214,0.87
215,4.83
216,0.88
217,0.59
218,4.54
219,2.57
220,1.39
221,2.1
222,1.4
223,2.67
224,5.54
225,3.41
226,2.85
227,1.98
228,1.47
229,1.9
230,2.12
231,2.51
232,1.14
233,9.06
234,1.5
235,1.06
236,0.69
237,2.57
238,1.8
239,1.37
240,0.85
241,1.11
242,10.64
243,1.03
244,1.83
245,1.37
246,1.61
247,1.54
248,1.83
249,2.92
250,0.78
251,2.06
252,4.01
253,1.21
254,0.83
255,2.86
256,0.37
257,1.12
258,0.82
259,1.44
260,1.17
261,1.43
262,6.21
263,0.43
264,0.79
265,1.88
266,1.15
267,0.99
268,0.85
269,0.87
270,1.18
271,1.52
272,0.48
273,0.61
274,1.42
275,1.3
